id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
336,The Big Comfy Couch,1993,0,7.1,0,0,0,1,0
337,The X-Files,1993,16,8.6,75,0,1,0,0
338,WWE Raw,1993,7,7.8,0,0,1,0,0
339,Ancient Warriors,1994,,6.3,0,0,0,1,0
340,Baseball,1994,16,9.2,0,0,0,1,0
341,Cadfael,1994,,8.1,0,0,0,1,0
342,ER,1994,16,7.7,0,0,1,0,0
343,Fantastic Four,1994,7,6.5,0,0,0,0,1
344,Gargoyles,1994,7,8.1,0,0,0,0,1
345,HBO Comedy Half-Hour,1994,7,7.9,0,0,0,1,0
346,Il giovane Mussolini,1994,18,5.8,0,0,0,1,0
347,Iria: Zeiram The Bounty Hunter,1994,,,0,0,0,1,0
348,Iron Man,1994,7,6.7,0,0,0,0,1
349,Middlemarch,1994,,7.4,0,0,0,1,0
350,Mrs. Piggle-Wiggle,1994,0,6.7,0,0,1,0,0
351,"Mysteries, Magic and Miracles",1994,,,0,0,0,1,0
352,Party of Five,1994,7,6.8,0,0,1,0,0
353,ReBoot,1994,7,7.8,0,0,0,1,0
354,Space Precinct,1994,,6.6,0,0,0,1,0
355,Spider-Man,1994,0,8.3,0,0,0,0,1
356,The Busy World of Richard Scarry,1994,0,7.4,0,0,0,1,0
357,The Magic School Bus,1994,0,7.9,0,1,0,0,0
358,The Man from Snowy River,1994,7,7.2,0,0,0,1,0
359,Time Team,1994,0,8.5,0,0,0,1,0
360,Touched by an Angel,1994,7,6,0,0,0,1,0
361,VR Troopers,1994,7,5.7,0,1,0,0,0
362,Weird Science,1994,,6.8,0,0,1,0,0
363,Where on Earth is Carmen Sandiego?,1994,7,7.3,0,0,0,1,0
364,American Gothic,1995,7,8.1,67,0,1,0,0
365,Bramwell,1995,0,8,0,0,0,1,0
366,Cybill,1995,7,6.8,0,0,0,1,0
367,Father Ted,1995,16,8.6,93,0,0,1,0
368,Flipper,1995,,5.4,0,0,0,1,0
369,Goosebumps,1995,0,7.7,0,1,0,0,0
370,Hamish Macbeth,1995,,7.8,0,0,0,1,0
371,Hollyoaks,1995,16,4.7,0,0,1,0,0
372,Kavanagh QC,1995,18,7.5,0,0,0,1,0
373,Lost Animals of the 20th Century,1995,,,0,0,0,1,0
374,Mr. Show with Bob and David,1995,18,8.3,100,0,0,1,0
375,Neon Genesis Evangelion,1995,16,8.5,100,1,0,0,0
376,Pinky and the Brain,1995,0,7.9,75,0,1,0,0
377,Powder,1995,13,6.6,50,1,0,0,0
378,Pride and Prejudice,1995,0,8.9,88,0,1,1,0
379,Simon,1995,0,7.3,0,1,0,0,0
380,Slayers,1995,7,7.5,0,0,1,0,0
381,Sliders,1995,7,7.4,0,0,1,0,0
382,Star Trek: Voyager,1995,7,7.8,77,1,1,1,0
383,Street Fighter,1995,,5.9,0,1,0,0,0
384,The Mysterious Play,1995,16,7.9,0,0,0,1,0
385,The Oscars,1995,,,0,0,1,0,0
386,The Outer Limits,1995,18,7.7,0,0,1,1,0
387,Timon & Pumbaa,1995,0,7.1,0,0,0,0,1
388,Tomorrow's World,1995,,,0,0,0,1,0
389,7th Heaven,1996,7,5.2,0,0,1,1,0
390,Arliss,1996,,7,0,0,1,0,0
391,Arthur,1996,7,7.3,0,0,0,1,0
392,Big Bad Beetleborgs,1996,7,6.3,0,1,0,0,0
393,Black Harbour,1996,,7.8,0,0,0,1,0
394,Case Closed,1996,16,8.4,0,1,1,0,0
395,Cosby,1996,7,6.4,0,0,0,1,0
396,Dexter's Laboratory,1996,0,7.9,0,0,1,0,0
397,Dragon Ball GT,1996,7,6.8,0,0,1,0,0
398,Flash Gordon (1996),1996,,,0,0,0,1,0
399,Forensic Files,1996,16,8.8,0,1,1,1,0
400,Fox News Sunday,1996,,4.3,0,0,1,0,0
401,Hey Arnold!,1996,0,7.6,0,0,1,0,0
402,Jumanji,1996,7,6.4,0,0,1,0,0
403,Kratts' Creatures,1996,0,8.1,0,0,0,1,0
404,Mighty Ducks: The Animated Series,1996,7,6.4,0,0,0,0,1
405,Project G.e.e.K.e.R.,1996,0,7.5,0,0,0,1,0
406,Quack Pack,1996,7,6.8,0,0,0,0,1
407,Rurouni Kenshin,1996,16,8.5,0,1,1,1,0
408,"Sabrina, the Teenage Witch",1996,0,6.6,0,0,1,0,0
409,Silent Witness,1996,16,7.8,0,0,1,1,0
410,Tarzan: The Epic Adventures,1996,,6.6,0,0,1,0,0
411,The Dana Carvey Show,1996,,7.3,80,0,1,0,0
412,The Incredible Hulk,1996,7,6.8,0,0,0,0,1
413,The Magical Adventures of Quasimodo,1996,,,0,0,0,1,0
414,The New Detectives,1996,7,7.6,0,0,1,0,0
415,Ally McBeal,1997,16,6.8,61,0,1,0,0
416,Beck,1997,,7.4,0,0,1,0,0
417,Buffy the Vampire Slayer,1997,7,8.2,82,0,1,0,0
418,Could it Be a Miracle,1997,,6.9,0,0,0,1,0
419,Daria,1997,16,8,0,0,1,0,0
420,Dharma & Greg,1997,16,6.3,0,0,1,0,0
421,Drovers' Gold,1997,,7.6,0,0,0,1,0
422,Earth: Final Conflict,1997,7,6.2,0,0,0,1,0
423,Extreme Ghostbusters,1997,7,6.9,0,0,1,0,0
424,Ghost Stories,1997,,6.6,0,0,0,1,0
425,"I, Caesar: The Rise and Fall of the Roman Empire",1997,,,0,0,0,1,0
426,Ivanhoe,1997,7,7.4,0,0,0,1,0
427,Ken Burns: American Lives,1997,,,0,0,0,1,0
428,King of the Hill,1997,7,7.3,0,0,1,0,0
429,Ninja Turtles: The Next Mutation,1997,7,4.4,0,1,0,0,0
430,Oz,1997,18,8.7,89,0,0,1,0
431,Pensacola: Wings of Gold,1997,,6.1,0,0,0,1,0
432,Pokémon,1997,7,7.5,0,1,1,1,0
